cust_code,cust_price_sensitivity,cust_lifestage,prod_code,prod_code_10,prod_code_20,prod_code_30,prod_code_40,basket_id,basket_size,basket_price_sensitivity,basket_type,basket_dominant_mission,shop_week,shop_date,shop_weekday,shop_hour,store_code,store_format,store_region,quantity,spend
CUST0000167092,Up Market,Young Families,PRD0901265,CL00030,DEP00008,G00004,D00002,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,1.8
CUST0000167092,Up Market,Young Families,PRD0904341,CL00102,DEP00034,G00010,D00003,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,0.98
CUST0000167092,Up Market,Young Families,PRD0902029,CL00031,DEP00008,G00004,D00002,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,1
CUST0000167092,Up Market,Young Families,PRD0900954,CL00013,DEP00004,G00003,D00001,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,1.3
CUST0000167092,Up Market,Young Families,PRD0902053,CL00089,DEP00025,G00008,D00002,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,3,2.28
CUST0000167092,Up Market,Young Families,PRD0903776,CL00079,DEP00022,G00007,D00002,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,1.56
CUST0000167092,Up Market,Young Families,PRD0900897,CL00102,DEP00034,G00010,D00003,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,0.79
CUST0000167092,Up Market,Young Families,PRD0904922,CL00070,DEP00020,G00007,D00002,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,3,0.36
CUST0000167092,Up Market,Young Families,PRD0900539,CL00102,DEP00034,G00010,D00003,994104700267582,Large,Less Affluent,Top Up,Fresh,200701,2007-03-01,Thursday,08,STORE00011,Medium,W03,1,0.6
CUST0000173324,Up Market,Other,PRD0903678,CL00222,DEP00076,G00023,D00005,994104700271530,Medium,Up Market,Small Shop,Nonfood,200701,2007-03-03,Saturday,12,STORE00011,Medium,W03,1,0.01
